usia;kelompok
20        ;Pemuda              
22        ;Pemuda              
31        ;Dewasa              
23        ;Pemuda              
8         ;Kanak-kanak         
32        ;Dewasa              
24        ;Dewasa              
69        ;Tua                 
50        ;Dewasa              
72        ;Tua                 
43        ;Dewasa              
65        ;Tua                 
39        ;Dewasa              
77        ;Tua                 
24        ;Dewasa              
15        ;Remaja              
34        ;Dewasa              
11        ;Kanak-kanak         
77        ;Tua                 
28        ;Dewasa              
78        ;Tua                 
72        ;Tua                 
66        ;Tua                 
25        ;Dewasa              
20        ;Pemuda              
18        ;Pemuda              
74        ;Tua                 
13        ;Remaja              
29        ;Dewasa              
44        ;Dewasa              
67        ;Tua                 
46        ;Dewasa              
58        ;Tua                 
7         ;Kanak-kanak         
15        ;Remaja              
2         ;Balita              
34        ;Dewasa              
21        ;Pemuda              
53        ;Dewasa              
44        ;Dewasa              
4         ;Balita              
25        ;Dewasa              
17        ;Pemuda              
6         ;Kanak-kanak         
71        ;Tua                 
19        ;Pemuda              
26        ;Dewasa              
9         ;Kanak-kanak         
1         ;Balita              
66        ;Tua                 
50        ;Dewasa              
16        ;Remaja              
3         ;Balita              
16        ;Remaja              
35        ;Dewasa              
10        ;Kanak-kanak         
39        ;Dewasa              
26        ;Dewasa              
17        ;Pemuda              
49        ;Dewasa              
39        ;Dewasa              
45        ;Dewasa              
68        ;Tua                 
17        ;Pemuda              
14        ;Remaja              
28        ;Dewasa              
14        ;Remaja              
13        ;Remaja              
48        ;Dewasa              
72        ;Tua                 
70        ;Tua                 
60        ;Tua                 
14        ;Remaja              
68        ;Tua                 
33        ;Dewasa              
50        ;Dewasa              
58        ;Tua                 
54        ;Dewasa              
8         ;Kanak-kanak         
79        ;Tua                 
56        ;Tua                 
45        ;Dewasa              
72        ;Tua                 
7         ;Kanak-kanak         
9         ;Kanak-kanak         
63        ;Tua                 
3         ;Balita              
59        ;Tua                 
58        ;Tua                 
31        ;Dewasa              
48        ;Dewasa              
74        ;Tua                 
14        ;Remaja              
10        ;Kanak-kanak         
72        ;Tua                 
31        ;Dewasa              
67        ;Tua                 
65        ;Tua                 
36        ;Dewasa              
13        ;Remaja              
