usia        kelompok
11                Kanak-kanak         
79                Tua                 
14                Remaja              
8                 Kanak-kanak         
11                Kanak-kanak         
32                Dewasa              
63                Tua                 
32                Dewasa              
49                Dewasa              
39                Dewasa              
80                Tua                 
23                Pemuda              
3                 Balita              
71                Tua                 
70                Tua                 
55                Tua                 
52                Dewasa              
4                 Balita              
62                Tua                 
2                 Balita              
8                 Kanak-kanak         
3                 Balita              
34                Dewasa              
57                Tua                 
31                Dewasa              
75                Tua                 
4                 Balita              
71                Tua                 
60                Tua                 
30                Dewasa              
14                Remaja              
24                Dewasa              
40                Dewasa              
67                Tua                 
23                Pemuda              
56                Tua                 
4                 Balita              
28                Dewasa              
16                Remaja              
79                Tua                 
67                Tua                 
55                Tua                 
36                Dewasa              
38                Dewasa              
75                Tua                 
14                Remaja              
72                Tua                 
78                Tua                 
14                Remaja              
51                Dewasa              
2                 Balita              
73                Tua                 
79                Tua                 
7                 Kanak-kanak         
54                Dewasa              
4                 Balita              
3                 Balita              
33                Dewasa              
73                Tua                 
62                Tua                 
55                Tua                 
22                Pemuda              
53                Dewasa              
56                Tua                 
37                Dewasa              
14                Remaja              
63                Tua                 
27                Dewasa              
36                Dewasa              
66                Tua                 
39                Dewasa              
65                Tua                 
26                Dewasa              
38                Dewasa              
75                Tua                 
40                Dewasa              
62                Tua                 
32                Dewasa              
79                Tua                 
51                Dewasa              
47                Dewasa              
4                 Balita              
52                Dewasa              
27                Dewasa              
26                Dewasa              
27                Dewasa              
9                 Kanak-kanak         
2                 Balita              
35                Dewasa              
30                Dewasa              
53                Dewasa              
27                Dewasa              
76                Tua                 
42                Dewasa              
58                Tua                 
3                 Balita              
35                Dewasa              
25                Dewasa              
8                 Kanak-kanak         
22                Pemuda
